predict_nodepair_id,ans
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,1
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,1
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,0
105,1
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,1
127,1
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,0
153,1
154,1
155,1
156,0
157,0
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,0
167,0
168,1
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,1
182,1
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,0
204,0
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,1
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,1
238,1
239,0
240,1
241,1
242,0
243,1
244,1
245,1
246,1
247,1
248,0
249,0
250,1
251,0
252,1
253,1
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,0
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,0
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,1
288,0
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,1
297,1
298,1
299,0
300,1
301,1
302,1
303,1
304,1
305,0
306,0
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,1
323,1
324,0
325,0
326,0
327,1
328,0
329,1
330,0
331,0
332,1
333,1
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,0
344,1
345,0
346,0
347,1
348,0
349,1
350,0
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,1
360,1
361,0
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,1
374,0
375,1
376,0
377,1
378,0
379,0
380,0
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,0
398,1
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,1
411,1
412,0
413,0
414,0
415,0
416,1
417,1
418,1
419,1
420,0
421,1
422,0
423,0
424,1
425,0
426,1
427,0
428,1
429,1
430,0
431,0
432,0
433,1
434,1
435,1
436,1
437,1
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,1
450,0
451,0
452,0
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,0
462,1
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,0
479,1
480,1
481,1
482,0
483,1
484,1
485,0
486,0
487,1
488,0
489,1
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,0
508,0
509,1
510,0
511,1
512,0
513,0
514,1
515,0
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,1
525,1
526,0
527,0
528,1
529,1
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,0
538,0
539,0
540,1
541,1
542,1
543,0
544,1
545,0
546,1
547,0
548,0
549,0
550,0
551,0
552,1
553,1
554,0
555,0
556,1
557,0
558,1
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,0
569,1
570,1
571,1
572,1
573,1
574,0
575,1
576,1
577,0
578,1
579,1
580,0
581,0
582,1
583,1
584,0
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,1
614,1
615,0
616,0
617,0
618,0
619,1
620,0
621,1
622,1
623,1
624,0
625,1
626,1
627,1
628,0
629,1
630,0
631,0
632,0
633,1
634,0
635,0
636,1
637,0
638,1
639,0
640,1
641,1
642,1
643,0
644,1
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,1
653,1
654,0
655,1
656,0
657,1
658,0
659,1
660,1
661,0
662,1
663,1
664,1
665,1
666,1
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,1
675,1
676,0
677,1
678,1
679,0
680,0
681,1
682,1
683,0
684,1
685,0
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,0
697,1
698,0
699,1
700,1
701,0
702,0
703,0
704,1
705,1
706,1
707,0
708,1
709,0
710,0
711,0
712,0
713,0
714,1
715,0
716,1
717,0
718,0
719,1
720,0
721,1
722,0
723,0
724,1
725,0
726,1
727,1
728,1
729,0
730,1
731,1
732,0
733,0
734,0
735,0
736,1
737,1
738,0
739,0
740,0
741,0
742,0
743,1
744,1
745,0
746,0
747,1
748,0
749,1
750,1
751,0
752,0
753,1
754,0
755,1
756,0
757,0
758,1
759,0
760,1
761,0
762,0
763,1
764,1
765,0
766,1
767,1
768,0
769,1
770,1
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,0
781,1
782,0
783,1
784,0
785,1
786,0
787,1
788,0
789,0
790,1
791,1
792,0
793,1
794,0
795,0
796,1
797,0
798,0
799,0
800,1
801,0
802,0
803,1
804,0
805,0
806,1
807,0
808,0
809,1
810,0
