node1,node2
287,68
63,552
189,20
380,376
370,443
87,427
212,411
407,525
28,128
133,568
563,272
149,167
42,83
169,170
461,624
333,87
44,550
548,434
83,518
197,457
489,419
506,406
169,494
160,445
812,461
420,172
258,62
252,740
947,394
198,199
212,128
360,533
700,823
941,189
526,403
362,331
188,418
63,366
233,546
869,397
268,1
518,351
249,212
471,255
338,860
296,379
518,105
541,511
141,566
520,408
329,652
926,927
430,280
42,459
150,149
199,201
333,627
495,459
292,484
526,167
339,171
963,160
478,110
179,377
394,181
266,61
21,303
172,403
106,147
459,1
768,935
549,67
481,137
177,146
107,280
388,283
417,409
23,494
199,258
121,426
92,530
484,448
489,6
335,164
828,64
281,58
495,671
339,135
124,323
263,160
5,35
321,483
107,62
566,700
418,549
27,23
582,549
300,42
738,481
52,128
506,62
215,340
424,338
434,35
6,408
425,4
424,109
198,329
166,132
480,211
73,221
368,104
373,706
859,194
51,124
216,45
434,490
207,820
18,104
238,506
107,184
793,316
60,380
335,533
533,607
280,450
355,16
84,654
160,30
803,59
453,453
387,295
333,441
499,505
174,107
437,455
932,283
494,296
172,207
452,452
638,300
34,28
543,105
264,7
498,488
55,950
358,700
210,105
63,405
12,13
537,243
393,434
12,957
43,358
188,155
100,820
137,303
60,179
434,92
62,134
94,776
545,27
99,99
222,226
859,971
129,168
521,86
335,929
34,590
93,714
600,588
153,173
368,275
927,158
82,859
404,125
17,310
393,384
366,950
469,477
423,442
68,306
169,249
210,106
602,569
346,180
963,950
493,290
211,371
263,333
337,123
40,34
303,106
390,14
493,526
19,62
404,15
197,13
131,481
261,261
533,440
379,191
269,448
474,301
226,443
441,166
17,309
397,546
249,460
178,275
44,856
95,206
318,423
896,2
167,167
327,160
271,518
174,809
434,533
357,121
209,541
655,438
209,211
14,426
362,280
434,255
405,856
494,83
896,355
141,502
272,612
311,301
549,212
262,402
147,424
748,405
748,151
295,314
320,295
160,820
495,371
929,140
280,434
42,145
282,163
698,55
157,342
908,593
371,424
129,695
452,9
216,274
377,215
170,914
431,166
132,283
82,201
62,356
215,309
68,21
820,420
918,128
105,820
448,164
949,59
195,4
107,107
448,274
426,425
57,211
265,856
971,232
283,103
674,19
174,377
18,223
608,267
483,280
494,281
29,27
548,381
820,820
377,403
529,44
13,179
28,30
419,63
207,107
411,900
10,82
516,762
204,581
932,427
151,39
235,209
249,440
455,914
17,160
492,5
129,221
64,14
86,180
434,280
181,231
60,177
491,378
812,107
866,80
151,28
494,662
443,38
162,169
499,241
159,234
483,342
82,222
665,142
776,936
291,129
66,480
84,474
908,95
674,823
820,199
37,28
183,357
593,205
82,173
936,706
14,167
254,651
183,859
280,53
6,141
86,107
321,560
271,183
299,287
542,543
411,430
170,27
24,96
64,115
420,19
213,320
106,259
163,87
357,301
82,84
971,8
924,303
212,422
164,748
212,333
745,189
333,493
183,29
81,420
259,20
80,16
548,169
86,229
258,249
243,859
562,183
832,193
16,183
129,208
82,555
178,0
473,106
434,283
546,742
301,35
115,87
5,255
4,137
949,809
438,338
73,317
349,320
30,30
820,169
199,94
242,62
371,161
5,450
291,256
146,21
357,82
405,3
96,101
249,420
196,86
327,107
20,187
204,141
642,642
338,318
278,191
167,95
14,14
464,129
582,62
115,82
160,280
424,99
457,197
17,249
249,430
20,409
932,671
34,26
23,24
212,77
166,493
450,176
47,427
810,269
480,601
55,533
87,453
142,474
339,27
113,976
272,710
419,848
46,592
366,443
377,0
263,86
329,340
560,84
296,203
287,184
187,69
441,529
452,823
326,155
485,455
627,420
379,308
183,326
549,221
62,249
